"model_name","id","AIC","horizon","pred","actual"
"9ni",3,126.790778107557,40,8.63264374567629e-08,0
"2i",3,-69.1236871304774,60,2.45655377428822e-08,0
"2ni",3,-100.165978338794,60,-5.7943995435128e-10,0
"3i",3,-10.7722728711097,60,3.66517985558867e-07,0
"3ni",3,-56.1193255677003,60,-1.50106865381971e-07,0
"4i",3,42.4221243260232,60,6.57349607094404e-07,0
"4ni",3,20.3560795428748,60,2.03038411450418e-06,0
"9ni",3,75.0619735974413,60,5.98125690365325e-07,0
"2i",3,-129.808736224576,80,7.76731429175115e-10,0
"2ni",3,-171.344415142423,80,-2.61288096298218e-08,0
"3i",3,-65.7897133638496,80,3.80137456387764e-07,0
"3ni",3,-75.3258254076,80,2.6300801438256e-06,0
"4i",3,-50.9183730706976,80,-7.03640927648963e-07,0
"4ni",3,-28.475702885146,80,2.83212587659509e-07,0
"9ni",3,41.6148613189111,80,1.26755928972488e-06,0
"2i",4,-99.7170529804849,20,-0.000367306718198672,0
"2ni",4,-94.5901832065565,20,-0.000710039622253397,0
"3i",4,-62.648728705619,20,-0.000378332850615108,0
"3ni",4,-72.2943420610555,20,-0.0126979756471989,0
"4i",4,-30.719675685417,20,-0.000345856662288611,0
"4ni",4,-87.3903208806731,20,0.077074235097895,0
"9ni",4,-58.0129392501321,20,-0.0315243076448032,0
"2i",4,-254.823847139485,40,0.0120703888369114,0
"2ni",4,-203.747865225844,40,0.00958073071665813,0
"3i",4,-60.9779265895248,40,0.0045302732278559,0
"3ni",4,-257.148876086399,40,0.00377888465032172,0
"4i",4,-35.8601421311574,40,0.00623221632075494,0
"4ni",4,-210.828935314808,40,-0.0329783245059385,0
"9ni",4,-167.470426204834,40,-0.423309992808816,0
"2i",4,-313.137068098403,60,0.0121017771754332,0
"2ni",4,-360.517283419687,60,0.0401740159374687,0
"3i",4,-51.1118362401426,60,0.0383287030601675,0
"3ni",4,-384.73211558124,60,-0.0580904732607684,0
"4i",4,-10.6608040077063,60,0.043865614872438,0
"4ni",4,-306.23750690821,60,0.0280024106619612,0
"9ni",4,-445.002628323993,60,0.054270327123262,0
"2i",4,-662.116374041069,80,0.0317718051749096,0
"2ni",4,-637.155920859976,80,-0.000245297518064482,0
"3i",4,-137.367362393567,80,0.0187760696652547,0
"3ni",4,-624.498964362366,80,0.0261119300805653,0
"4i",4,-94.310911460661,80,0.0134260065069428,0
"4ni",4,-720.222138373556,80,0.0123035240853004,0
"9ni",4,-554.628488363752,80,0.00240677683258794,0
