"model_name","id","AIC","horizon","pred","actual"
"2i",3,-679.229088779356,40,0.000534540652381317,0
"2ni",3,-640.630844140049,40,0.00337667603642527,0
"3i",3,-478.767527071221,40,8.88699235076121e-05,0
"3ni",3,-683.545606334141,40,0.00126714962763855,0
"4i",3,-430.057560048881,40,0.000134473055128956,0
"4ni",3,-490.514550084366,40,0.000144052578677564,0
"9ni",3,-614.208807546691,40,0.00290559095553249,0
"2i",3,-1118.93959596115,60,-0.0016284890823846,0
"2ni",3,-1065.70501822692,60,-0.00094408105867902,0
"3i",3,-878.860758275441,60,-0.000328280103167787,0
"3ni",3,-1132.30648103099,60,0.00548944367992706,0
"4i",3,-822.759323866702,60,-0.000301549321660492,0
"4ni",3,-1131.24032710226,60,-0.00520847594580707,0
"9ni",3,-1035.47573938235,60,0.00315764678777389,0
"2i",3,-1455.7465178098,80,0.000690442709298913,0
"2ni",3,-1458.64812902179,80,0.00426918311256652,0
"3i",3,-1470.55129491396,80,-0.00598146895827139,0
"3ni",3,-1480.43562974844,80,-0.00278399611550463,0
"4i",3,-1461.11839049353,80,-0.000795003080201851,0
"4ni",3,-1394.93003610737,80,0.00227803213668675,0
"9ni",3,-1383.85779588783,80,0.0149348760122199,0
"2i",4,-728.195073849565,40,0.00935772419067003,0
"2ni",4,-422.082900462189,40,-2.99882759306961e-08,0
"3i",4,-216.696200083011,40,2.11050400010956e-09,0
"3ni",4,-270.203335817286,40,1.06710088132641e-06,0
"4i",4,-209.270026228368,40,1.80962151618025e-11,0
"4ni",4,-175.75349833663,40,3.56382065916593e-06,0
"9ni",4,-498.679425057339,40,0.191816017793436,0
"2i",4,-645.993676502539,60,0.00153178084731912,0
"2ni",4,-705.99120145553,60,0.114637644094263,0
"3i",4,-370.597871827041,60,1.25299533123267e-06,0
"3ni",4,-678.479536469072,60,-0.0391753790871898,0
"4i",4,-373.482090046831,60,6.04991795998393e-08,0
"4ni",4,-607.544337453107,60,-0.0303419938303127,0
