window,width,fold_id,rs_id,ssm,lr,xgb
0,15,0,10,0.4476302798537787,0.4054273427481793,0.47385692765754717
0,15,1,10,0.2634657541796957,0.27666200356077536,0.21878377324183956
0,15,2,10,0.20920582746561167,0.2142534998553868,0.2110155803637575
0,15,3,10,0.4993642017857134,0.4853811876877342,0.3647745587443922
0,15,4,10,0.3757296562845767,0.3836446712063746,0.33903241902817943
0,15,0,11,0.2560845567895265,0.3503119047527089,0.3106319109821518
0,15,1,11,0.34144012286731107,0.3222589778469798,0.23134825505944862
0,15,2,11,0.3998379867253634,0.413104456802184,0.3857713063742969
0,15,3,11,0.5044532869305369,0.47088261096286144,0.4182216946620689
0,15,4,11,0.39920655046101267,0.33912393260746165,0.28573496106894525
0,15,0,12,0.2864027038019137,0.35675631796325813,0.3363855847237683
0,15,1,12,0.3548270176219536,0.33263687769546535,0.3019587668032647
0,15,2,12,0.4458417833017375,0.36541416832914436,0.16042829792082086
0,15,3,12,0.3780554968282892,0.36205390304882995,0.36182684360720635
0,15,4,12,0.5231143713010828,0.47823304921438825,0.3956852668693746
0,15,0,13,0.28906742934327545,0.26838573398448823,0.2792945675916525
0,15,1,13,0.3375913818305761,0.3591754276173967,0.32788352850333946
0,15,2,13,0.5805741339412459,0.5769951867609568,0.40255502164010587
0,15,3,13,0.48984819406381214,0.3990032717556722,0.37013105977376765
0,15,4,13,0.2640596411484846,0.2796981712505047,0.22015729651276206
0,15,0,14,0.4305131624892469,0.3807276481144512,0.2898031878182049
0,15,1,14,0.3044077781236162,0.3354028936932303,0.28759890028991864
0,15,2,14,0.4508414469734873,0.4124517951817762,0.3052003577676635
0,15,3,14,0.36208315740446867,0.2818446216726848,0.2856437903713239
0,15,4,14,0.375035435137528,0.42619402785875243,0.2452907755580489
0,15,0,15,0.4380268951054877,0.4170265161644138,0.3469947265368278
0,15,1,15,0.3387128816799903,0.3169933891883663,0.2627879915831823
0,15,2,15,0.49284344940662966,0.4593542534186007,0.40017343325235444
0,15,3,15,0.4120192822929777,0.39426647982222546,0.363301497714459
0,15,4,15,0.1345130525072174,0.13007458736331934,0.11304533498386492
0,15,0,1,0.17014648319438702,0.17300167189944465,0.16445589952062378
0,15,1,1,0.49395818907020667,0.4759946634866838,0.33792923320927976
0,15,2,1,0.31135164643447627,0.37680322394163496,0.36289236576900447
0,15,3,1,0.404259288891719,0.2969497076945887,0.26552121449813115
0,15,4,1,0.4703219183031717,0.4366290454593367,0.39467590991917456
0,15,0,2,0.283527104178128,0.2585047979000945,0.24355009953844559
0,15,1,2,0.3387498576568231,0.3436460632207693,0.3416832415066211
0,15,2,2,0.4088093963958983,0.4082914494510408,0.36772108629541034
0,15,3,2,0.535032542190294,0.4931932209467853,0.3198576236822138
0,15,4,2,0.34239737714384866,0.322129300466234,0.22154835760971653
0,15,0,3,0.40937783171298053,0.34560823066946955,0.23933844035884297
0,15,1,3,0.420856325929124,0.40881341644945984,0.36546022594298455
0,15,2,3,0.3341300080112363,0.27843393027452107,0.2590885221372961
0,15,3,3,0.38928580636738835,0.42806788688584957,0.42037796266762834
0,15,4,3,0.4527036252623976,0.36757332048032815,0.2962847990717067
0,15,0,4,0.4019974109769646,0.3453341976927818,0.28323409141772393
0,15,1,4,0.4061329100392732,0.39874419125719435,0.35621340638875437
0,15,2,4,0.5175922665623003,0.4928529703511857,0.38253120482455555
0,15,3,4,0.292901325154605,0.2896275482599414,0.25169168227256467
0,15,4,4,0.25964567431786667,0.35157162834735955,0.22421107150303018
0,15,0,5,0.35522445803148156,0.3455903092337425,0.31289440161160637
0,15,1,5,0.45457699706948956,0.4287142403882192,0.4051870999420918
0,15,2,5,0.4192972210157794,0.3988574183442042,0.3948909674518009
0,15,3,5,0.3931176792423115,0.4122652849117799,0.33995764387919974
0,15,4,5,0.37355365289194054,0.3195891187401202,0.3373593813093922
0,15,0,6,0.5615808220376778,0.4997728171997891,0.28724412501991514
0,15,1,6,0.3186746059516286,0.3851932441100156,0.4188192639229172
0,15,2,6,0.24323851820640058,0.29534535302130127,0.28663517216080003
0,15,3,6,0.4713620507772014,0.38582772098970824,0.2592252128837959
0,15,4,6,0.25901650360450273,0.3189035442931051,0.2788016186699065
0,15,0,7,0.31795341359233026,0.28985881077723713,0.30335885635556864
0,15,1,7,0.35658930920948917,0.381002891670435,0.2423200963060327
0,15,2,7,0.44198176621394486,0.426689855044329,0.4479479894869494
0,15,3,7,0.35996118077086003,0.32728083679333686,0.25022459290215504
