window,width,fold_id,rs_id,ssm,lr,xgb
0,15,0,10,0.9074178935447339,0.9029193406316849,0.9052652393535746
0,15,1,10,0.8274521614233425,0.8310568502988462,0.8083537969698373
0,15,2,10,0.8224092020254933,0.8225892701239741,0.8150482364239566
0,15,3,10,0.8564635945722351,0.857088759818847,0.8140760262347654
0,15,4,10,0.8727041993539455,0.8823056068297185,0.8643876903553299
0,15,0,11,0.8548155953635406,0.8604889357218124,0.8526280295047418
0,15,1,11,0.8494897959183674,0.8293043978154642,0.8059715435469963
0,15,2,11,0.8720006362012999,0.8760997968493576,0.8615213886539282
0,15,3,11,0.9108527603998513,0.9068810497012079,0.8593941313710322
0,15,4,11,0.8349643816701389,0.8361967203617113,0.8180158019374633
0,15,0,12,0.8482951835956128,0.8544434225764699,0.8518291436746372
0,15,1,12,0.8584810126582277,0.8543924050632912,0.8243354430379747
0,15,2,12,0.8655187703984036,0.8670165868346832,0.7761988976483509
0,15,3,12,0.8411006938769445,0.8453233882590673,0.8592365867791927
0,15,4,12,0.8983104584459299,0.9002571943298725,0.871142085051913
0,15,0,13,0.8480746746765776,0.8246532893548664,0.8211838065454407
0,15,1,13,0.8290070797495759,0.8153390673453864,0.8175530981218185
0,15,2,13,0.9135389570172179,0.9183254088493775,0.877546871972736
0,15,3,13,0.9078750818509222,0.9044867947178872,0.8905550856706319
0,15,4,13,0.802197417071162,0.8212802495312528,0.7835684371002507
0,15,0,14,0.8825558063707049,0.8661670164877958,0.8305248637017675
0,15,1,14,0.8451116128731124,0.8394069873275921,0.8028804639548182
0,15,2,14,0.8554512929820357,0.8514783844346068,0.7820407717112094
0,15,3,14,0.8231973796383542,0.8340736752366851,0.8250370170951676
0,15,4,14,0.886003682264115,0.8954162709382346,0.8596176600113545
0,15,0,15,0.8633360052616434,0.8607077527027582,0.8410356805195873
0,15,1,15,0.8715051312041975,0.8946137224193644,0.871002914180362
0,15,2,15,0.8994243988626011,0.8830798111696987,0.8693620075642547
0,15,3,15,0.8602943010350417,0.8633557800224466,0.8346302531487717
0,15,4,15,0.7492049009384777,0.7444603753910324,0.7357045099061522
0,15,0,1,0.8009498995567446,0.793422481577635,0.769880074015726
0,15,1,1,0.8792056737588652,0.8742156028368795,0.8319489361702128
0,15,2,1,0.8728970296588453,0.890645542259955,0.8842335717628184
0,15,3,1,0.8545670747163285,0.8320671865447983,0.8294131241892436
0,15,4,1,0.8898286738308147,0.8785532590458894,0.8509360097660126
0,15,0,2,0.8074125429045532,0.8396525204767425,0.8528894748406943
0,15,1,2,0.86882018321513,0.8519392730496453,0.8513556442080378
0,15,2,2,0.850012134940539,0.85882152391739,0.82436984987345
0,15,3,2,0.9199761818464246,0.9065568960458413,0.8198708987038092
0,15,4,2,0.8533462368793271,0.8337946576612548,0.7877276449449456
0,15,0,3,0.8660173434251426,0.8497624775854815,0.7837055130524999
0,15,1,3,0.8763881046489742,0.8746807023204539,0.8755680137667715
0,15,2,3,0.8484752049713246,0.8417717187478613,0.8344009636047577
0,15,3,3,0.8592462704685857,0.8755294181121692,0.87796406701017
0,15,4,3,0.882513266886153,0.8575264210225647,0.8650671236789488
0,15,0,4,0.8489208305506648,0.828653390808087,0.7751259789933822
0,15,1,4,0.8857183402711306,0.894427687376177,0.8791487656656947
0,15,2,4,0.8983768625007083,0.8877514021868448,0.8643065548694125
0,15,3,4,0.8090747309419756,0.7976163093350119,0.7776775661900899
0,15,4,4,0.8707557779546862,0.884080771320621,0.8624094923992569
0,15,0,5,0.8429489315384957,0.8454312719356701,0.8298930427828868
0,15,1,5,0.9081863554821407,0.8964991740821656,0.8937532193033871
0,15,2,5,0.8509847541080856,0.8644242747819897,0.8672242985110042
0,15,3,5,0.8661427500452396,0.860031538401882,0.8543597962929452
0,15,4,5,0.8539978817723233,0.8400164872360404,0.8468570523879195
0,15,0,6,0.9073305670816044,0.8876220940439945,0.7763917971643779
0,15,1,6,0.8990887161618869,0.8969110158134548,0.9105898456943754
0,15,2,6,0.7774588406709948,0.800712580962174,0.8111205126940341
0,15,3,6,0.8788196519373677,0.8865331949979287,0.8372897014668197
0,15,4,6,0.8130036825101745,0.8287971650158307,0.8079414413105992
0,15,0,7,0.8385951667863006,0.8254663663440673,0.8182429477818205
0,15,1,7,0.8536823588866428,0.8559127662882912,0.8585853677499612
0,15,2,7,0.8856565656565656,0.8809315375982043,0.8872727272727273
0,15,3,7,0.8281611958564624,0.8330871104506317,0.8108221513178023
0,15,4,7,0.8979158995879211,0.8878888143526529,0.8544937784659771
0,15,0,8,0.8681648348651376,0.8790363269424823,0.8403366787574659
0,15,1,8,0.8497879759908629,0.8662456562416465,0.8397350611163763
0,15,2,8,0.8388746511760351,0.8396833532661314,0.8367389942479639
0,15,3,8,0.8599814733289308,0.8703087167070218,0.8271791767554479
0,15,4,8,0.8700469538449549,0.8423091160597735,0.8222007910066826
0,15,0,9,0.8204471725717194,0.8298231664652376,0.8411440111952166
0,15,1,9,0.8840193444384739,0.8927109081139173,0.8752901665771091
0,15,2,9,0.9020351961311124,0.8863312735088662,0.8460975282106395
